N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
408,Fraternidad Sin Fronteras,Lima,Lima,San Martin De Porres,Alvarez Velasquez  Miguel Angel,Educación/Mujer y Desarrollo Social/Salud/
409,Fraternitas del Perú,Ancash,Casma,Casma,Holenstei  Mario Paul,Mujer y Desarrollo Social/
410,Fundación Amanda Jimeno,Lima,Lima,San Borja,Jimeno Nieto  Julio Manuel,Mujer y Desarrollo Social/Salud/
411,Fundación Anna D'ambrosio de Piscopo                                                                                    ,Lima,Lima,San Juan De Lurigancho,Ratti Calvi  Claudio,Educacion/PCM/
412,Fundación Augusto N. Wiese                                                                                              ,Lima,Lima,San Isidro,Wiese De Osma  Augusto Felipe,Mujer y Desarrollo Social/PCM/
413,Fundación Belcorp,Lima,Lima,San Isidro,Barbieri Alcalde  Daniela Carla,Mujer y Desarrollo Social/
414,Fundación Consoli,Lima,Lima,Miraflores,Consoli Noto  Vicenzo Piero,Educación/
415,Fundación Cristo Vive Perú,Cusco,Cusco,Cusco,Galiano Gutierrez  Ana Maria,Educacion/Justicia/Salud/
416,Fundación Cuna Nazareth                                                                                                 ,Lima,Lima,Chorrillos,Santa Cruz Espinoza  Carmen Rosa,Mujer y Desarrollo Social/
417,Fundación Damian De Molokai,Lima,Lima,Lima,Fort Barcelli  Miguel,Mujer y Desarrollo Social/
418,Fundación de Arte Contemporaneo,Lima,Lima,Barranco,Amico Anaya  Mateo,Educación/
419,Fundacion del Banco de Comercio,Lima,Lima,San Isidro,Hurtado Hurtado  Martha,Educación/Mujer y Desarrollo Social/
420,Fundación Don Bosco,Lima,Lima,Breña,Gorecki  Stefan Edward,Educación/Mujer y Desarrollo Social/
,,,,,Acuña Gallo  Raul Alberto,
,,,,,Cayo  Manuel Eduardo,
421,Fundación Felipe Antonio Custer,Lima,Lima,Magdalena Del Mar,Custer Hallett  Felipe Antonio,Educación/Mujer y Desarrollo Social/Otros/
422,Fundación Jesús Caminante,Arequipa,Arequipa,Yanahuara,Soriano Gonzales  Enrique,Mujer y Desarrollo Social/
423,Fundación Luis Dyer e Hijos,Ucayali,Coronel Portillo,Calleria,Dyer Ampudia  Osterlin Luis,Mujer y Poblaciones Vulnerables/Educación/
424,Fundación Oftalmológica del Norte Piura Perú                                                                           ,Piura,Piura,Piura,Pongo Aguila  Luis Humberto,Salud/
425,Fundación Oswaldo Kaufmann                                                                                              ,La Libertad,Trujillo,Trujillo,Contreras Zavaleta  Luis German,Economia y Finanzas/Educación/Mujer y Desarrollo Social/Salud/
426,Fundación para el Desarrollo Solidario,Lima,Lima,Barranco,Claux Koechlin  Ana Lucia,Salud/Trabajo y Promocion Social/Vivienda y Construcción/Otros/
,,,,,Llosa Barber  Alfredo Ernesto,
427,Fundación para la Vida Vivienda y Educacion,Puno,San Roman,Juliaca,Noa Fuentes  Teofilo Apolinar,Mujer y Poblaciones Vulnerables/Educacion/
428,Fundación Peruana Cardio-Infantil,Lima,Lima,San Isidro,Rodriguez Matta  Betty Del Pilar,Mujer y Desarrollo Social/
429,Fundación Peruana de Cáncer,Lima,Lima,Miraflores,De La Fuente Prem  Miguel,Salud/PCM/
430,Fundación Romero,Lima,Lima,Santiago De Surco,Seminario Maron  Maria Magdalena,Educación/Mujer y Desarrollo Social/Salud/
431,Fundación Santa Martha                                                                                                  ,Lima,Lima,Pachacamac,Cahuas Abusabal  Mario Roberto,Mujer y Desarrollo Social/Vivienda y Construcción/
432,Fundacion Stromme,Lima,Lima,Santiago De Surco,Tapia Porras  Susana,Mujer y Desarrollo Social/
433,Fundación Telefónica del Perú,Lima,Lima,Lima,Manzanares Gutierrez  Jose Javier,Mujer y Poblaciones Vulnerables/
434,Fundación Tintaya,Cusco,Espinar,Espinar,Arizabal Loaiza  Hernando Juan De Dios,Educación/Salud/
435,Fundacion Ubaldo Guillermo Arevalo Aguilar,Lima,Lima,Miraflores,Zamora Arroyo  Lilian,Mujer y Poblaciones Vulnerables/
436,Futuro Cajay-Peru,Lima,Lima,Los Olivos,Diaz Sanchez  Santa Ysabel,Educación/Mujer y Desarrollo Social/Salud/
437,Go Ye Ministries Inc.,La Libertad,Pacasmayo,Pacasmayo,Good Hard  Avis,Educación/Salud/Otros/
438,Grupo Gestor Kipece,Lima,Lima,Barranco,Effio Caballero  Enrique Eleazar,Educación/Mujer y Desarrollo Social/Salud/
439,Help Them Hope,Lima,Lima,San Luis,Whelam  John Gerard,Educación/
440,Help To Help,Lima,Callao,La Punta,Zarate Garcia De Alfaro  Mirella Enith,Mujer y Poblaciones Vulnerables/Salud/
441,Hermana Tierra,Lima,Callao,Callao,Eslava Calvo  Fernando Humberto,Mujer Y Desarrollo Social/Educacion/
442,Hogar Clinica San Juan de Dios                                                                                          ,Lima,Lima,San Luis,Hernandez Parra  Jose Daniel,Salud/
443,Hogar Clinica San Juan de Dios.,Arequipa,Arequipa,Cayma,Alaluna Navarro  Adolfo Felipe,Mujer y Poblaciones Vulnerables/Salud/
444,Hogar de Vida,Lima,Lima,Magdalena Del Mar,Leguia Puente  Humberto Jesus,Mujer y Desarrollo Social/Salud/
445,Hogar del Niño Peregrino Nuestra Señora del Prado,Lima,Lima,Santa Anita,Torres Aliguillen  Maria Luisa,Educacion/Mujer y Desarrollo Social/
446,Hogar Nazaret,Lima,Lima,San Isidro,Doñoro De Los Rios  Ignacio Maria,Mujer y Poblaciones Vulnerables/
447,Hogar San Camilo                                                                                                        ,Lima,Lima,Lima,Morante Chiroque  Carlos Eduardo,Educacion/Salud/
448,Hope For Children And Families,Lambayeque,Chiclayo,Chiclayo,Vasquez Bardales  Wendy Elizabeth,Mujer y Poblaciones Vulnerables/
449,Iglesia Adventista del Septimo Día                                                       ,Lima,Lima,Miraflores,Chavez Idrogo  Enzo Ronald,Educación/
450,Iglesia Alianza Cristiana Y Misionera del Perú                                                                    ,Lima,Lima,Pueblo Libre,Perez Rojas  Mario,Educacion/Mujer Y Desarrollo Social/
451,Iglesia Anglicana del Perú,Lima,Lima,Santiago De Surco,Godfrey  Harold William,Mujer y Poblaciones Vulnerables/Educación/
452,Iglesia Biblica Cristiana,Lima,Lima,La Molina,Vasquez Pazos  Miguel Andres,Educacion/
453,Iglesia Cristiana el Buen Samaritano-Perú,Lima,Lima,Santiago De Surco,Velit Flores  Natalia,Mujer y Poblaciones Vulnerables/
454,Iglesia Cristiana Pentecostes del Perú Movimiento Misionero Mundial                                                     ,Lima,Lima,La Victoria,Gonzalez Cruz  Rodolfo,Educacion/Mujer y Desarrollo Social/
455,Iglesia de Cristo Internacional Perú,Lima,Callao,Callao,Herrera Silva  Cesa Augusto,Educacion/Mujer y Desarrollo Social/
456,Iglesia de Dios Sociedad Misionera Mundial,Lima,Callao,Bellavista,Joo Cheol  Kim,Educacion/Salud/
457,Iglesia Evangelica Bautista Manantial de Vida,Lima,Lima,Villa Maria Del Triunfo,Flores Conislla  Raul,Educacion/Mujer y Desarrollo Social/
458,Iglesia Evangelica Buenas Nuevas de Salvación Balneario Pampachica,Loreto,Maynas,San Juan Bautista,Urdiales Gutierrez  Gustavo Fabian,Mujer y Poblaciones Vulnerables/Salud/
459,Iglesia Evangelica de Cristo del Perú a las Naciones,Lima,Lima,San Martin de Porres,Chavez Goicochea  Juan Eli,Educacion/Salud/
460,Iglesia Evangelica el Alfarero Cristo viene Pronto,Lima,Callao,Ventanilla,Jimenez Estrada  Freddy Edmundo,Mujer y Desarrollo Social/
461,Iglesia Evangelica Jesús Te Llama,Lima,Callao,Callao,Rugel Sanjines  Miguel Angel,Mujer y Desarrollo Social/
462,Iglesia Evangelica Pentecostal Ministerios Mundiales El Faro,Lima,Lima,San Juan De Miraflores,Kalinsky  Eleanor,Educacion/Mujer y Desarrollo Social/Salud/
463,Iglesia Evangelica Pentecostes Internacional Poder y Sanidad,Junín,Huancayo,Huancayo,De La Cruz Arotoma  Efrain,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
464,Iglesia Evangelica Pentecostes Maranatha Cristo Viene,Lima,Lima,Lurigancho,Ponce Gutierrez  Fredy,Cultura/ Mujer Y Poblaciones Vulnerables/Educacion/
465,Iglesia Hermanos Misioneros Unidos,Lima,Lima,Ate,Sicha Quispe  Cesar,Educación/Mujer Y Desarrollo Social/Salud/
466,Iglesia la Casa de Dios Viviente,Lima,Callao,Ventanilla,Polo Ruiz  Edilberto David,Educacion/Mujer Y Desarrollo Social/
467,Iglesia Metodista Del Peru (IMP),Lima,Lima,Breña,Ochoa Jara  Javier Fernando,Educacion/
468,Iglesia y ONG Cristiana Soplo de Vida,Lima,Lima,Miraflores,Mariategui Cornejo  Maria Soledad,Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/Educación/
469,Impacto Cristiano - ONGD,Lambayeque,Chiclayo,Chiclayo,Bernard Pistone  Paul,Educacion/Mujer y Desarrollo Social/Salud/
470,Inmed Andes,Lima,Lima,Miraflores,Pfeiffer  Linda Susan,Educacion/Salud/
471,Institución Benefica Santa Rosa de Lima,Lima,Lima,Villa El Salvador,Palomino Flores  Jose Leonardo,Mujer y Poblaciones Vulnerables/Educacion/Presidencia del Consejo de Ministros/Salud/
472,Institución Privada Recaudadora de Recursos en Educación y Salud - Ciencia  Tecnología,Lima,Lima,San Isidro,Suarez Tello  Carlos Manuel,Mujer y Poblaciones Vulnerables/Educacion/
473,Instituto Biblico Calvary Chapel,Cajamarca,Cajamarca,Llacanora,Bonner  John Lyle,Mujer y Poblaciones Vulnerables/
474,Instituto Damos Visión,Lima,Lima,Jesus Maria,Gordillo Robles  Luz Josefina,Salud/
475,Instituto de Apoyo y Desarrollo Social Blansal,Arequipa,Arequipa,Cayma,Claus Nack  Volker,Educacion/Mujer y Desarrollo Social/Salud/
476,Instituto de Cooperación y Asistencia para la Educación y el Desarrollo Social,Lima,Lima,Los Olivos,Roman Villavicencio  Elmer Wladimir,Mujer y Desarrollo Social/
477,Instituto de Desarrollo Ambiental y Social,Lambayeque,Chiclayo,Jose Leonardo Ortiz,Mio Amaya  Hipolito,Educacion/Mujer y Desarrollo Social/Salud/Trabajo y Promocion Social/
478,Instituto de Desarrollo Ético de América ,Lima,Lima,Miraflores,Noriega Salaverry  Ricardo Manuel German,Agricultura/Salud/ Mujer y Poblaciones Vulnerables/
479,Instituto De Desarrollo Investigacion Y Progreso-Ong´D,Huancavelica,Huancavelica,Pilchaca,Camac Silva  Nelson Hernan,Mujer y Poblaciones Vulnerables/Educacion/
480,Instituto de Formacion de Adolescentes y Niños Trabajadores Nagayama Norio (Infant),Lima,Lima,San Juan De Miraflores,Cussianovich Villaran  Alejandro,Mujer y Desarrollo Social/
481,Instituto de Idiomas Cultura y Desarrollo,Junín,Jauja,Ataura,Sanguinetti Chirif  Maria Fiorina,Educacion/Mujer y Desarrollo Social/Salud/Trabajo y Promocion Social/Otros/
482,Instituto de Integración y Desarrollo Nacional,Lima,Huaura,Huacho,Gonzales Garcia  Marco Antonio,Mujer y Desarrollo Social/Salud/
483,Instituto de Investigación Nutricional                                                                                  ,Lima,Lima,La Molina,Penny Roberts  Mary Edith,Salud/
484,Instituto de Liderazgo y Desarrollo,San Martín,Rioja,Rioja,Hernandez Izquierdo  Noe,Educacion/Salud/
485,Instituto de Pastoral Andina                                                                                            ,Cusco,Cusco,Wanchaq,Rosillo Madrid  Rogger Paul,PCM/
486,Instituto de Prevención y Rehabilitación Oftalmológica de la Selva,San Martín,San Martin,Tarapoto,Arevalo Arevalo  Luis Felipe,Mujer y Poblaciones Vulnerables/Salud/
487,Instituto de Promoción e Iniciativas Locales,Lima,Lima,Lima,Ortiz Sotelo  Tomas,Agricultura/Trabajo Y Promocion Social/Pcm/
488,Instituto Hermanas Josefinas de La Caridad,Lima,Lima,Comas,Diaz Torres  Manuela Esther,Mujer y Desarrollo Social/
489,Instituto Interamericano Para el Fomento y Desarrollo de la Educacion (INIFE),Lima,Lima,San Juan De Lurigancho,Benavente Flores  Julio Cesar,Educación/
490,Instituto Internacional Educativo para el Desarrollo y Empleo Familiar                                                  ,Lima,Lima,Villa Maria Del Triunfo,Davila Rojas  Avelardo Segundo,Educación/
491,Instituto Mundo Libre,Lima,Lima,Pachacamac,De Cossio De Vivanco De Gonzales Posada  Maria Luisa Blanca Francisca,Educación/Mujer y Desarrollo Social/Salud/
492,Instituto Nacional un Tiempo Nuevo para el Perú,Lima,Lima,Ate,Aguirre Cachique  Virgilia,Mujer y Desarrollo Social/Salud/
493,Instituto para el Desarrollo e Integración Ocupacional para la Comunidad Urbana y Rural,Lima,Lima,Ate,Estrada Suarez  Justo,Mujer y Poblaciones Vulnerables/
494,Instituto para el Desarrollo y Apoyo Social Jardines de Santa Rosa de Lima,Lima,Lima,Santa Rosa,Jantsch Hertlein  Irmtraud Karin,Industria/Mujer y Desarrollo Social/
495,Instituto Peruano de Paternidad Responsable,Lima,Lima,Jesus Maria,Leon De Villalobos  Maria Elvira,Educación/Mujer y Desarrollo Social/Salud/Otros/
,,,,,Sebastiani De Lipari  Angela Maria,
496,Instituto Servidoras del Señor y de La Virgen de Matara,Arequipa,Arequipa,Tiabaya,Cardenas Villasante  Yuliana Yngrid,Educación/
497,Instituto Trabajo y Familia,Lima,Lima,Santiago De Surco,Giuria Chirinos  Luis Alberto,Educacion/Trabajo y Promoción Social/
498,Integración para el Desarrollo de la Educacion Agricultura y Salud del Perú,Lima,Lima,Magdalena Del Mar,Bruna Quispe  Toribio Tito,Educacion/PCM/
499,Jahzeel Promoviendo Vida ONG,Lima,Lima,Jesus Maria,Paz Herrera  Ernesto Enrique,Mujer y Poblaciones Vulnerables/
500,Jesús el Divino Redentor - Perú,Lima,Lima,Comas,Murrugarra Abanto  Maria Hayde,Mujer y Desarrollo Social/
501,Junta de la Misión Extranjera de la Convención de Bautistas del Sur,Lima,Lima,San Isidro,Glen Thompson  Monty,Mujer y Desarrollo Social/PCP/
502,Justicia Paz y Vida,Lima,Lima,Santiago De Surco,Diaz Arce  Vicente,Educacion/Salud/
503,Kanan Huarak,Lima,Lima,San Miguel,Torres Flores  Judith Beatriz,Educacion/Mujer Y Desarrollo Social/
504,La Alegria En El Señor,Lima,Lima,La Molina,Villaverde Justiniano  Maria Elena,Educacion/Mujer Y Desarrollo Social/Salud/
505,La Faz - Lineamiento De Apoyo En Fraternidad: Adonai Zarza Ardiente,Lima,Callao,Callao,Cabanillas Noriega  Jessica Elizabeth,Cultura/ Mujer y Poblaciones Vulnerables/
506,La Fuente Centro de Salud Integral,Cusco,Cusco,San Jeronimo,Nathan Andrew  Wilson,Mujer Y Desarrollo Social/Salud/
507,La Fuerza De La Amistad Asociacion Nacional De Discapacitados O.N.G. Peru-Italia,Huánuco,Huanuco,Huanuco,Zanchi  Gianfranco,Salud/
508,La Mesa Del Reino,Lima,Lima,San Miguel,Chuquitaype Quintana  Julia Griselda,Mujer Y Poblaciones Vulnerables/
509,La Misericordia De Dios Es Grande,Lima,Lima,Chorrillos,Quispe Aguado  Geneza Fortunata,Mujer y Poblaciones Vulnerables/
510,Las Misioneras Parroquiales Del Niño Jesus De Praga,Lima,Lima,Chorrillos,Barrera Vidal  Abigail,Educacion/Mujer y Desarrollo Social/
511,Liberate Lideres en Desarrollo Personal,Lima,Callao,La Perla,Morales Espinoza  Roberto Daniel,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
512,Liga Biblica del Perú,Lima,Lima,Pueblo Libre,Lopez Rodriguez  Dario Andres,Mujer y Poblaciones Vulnerables/
513,Liga Peruana de Lucha contra el Cáncer                                                                                  ,Lima,Lima,Pueblo Libre,Dammert Ludowieg  Adolfo Rafael,Mujer y Desarrollo Social/Salud/
514,Liga Peruana de Lucha contra el Cancer - Filial Arequipa,Arequipa,Arequipa,Arequipa,Lopez Ticona  Gerson Edilberto,Educacion/Salud/
515,Liga Peruana de Lucha contra el Cancer de Trujillo,La Libertad,Trujillo,Trujillo,Gonzalez Rosell  Luis Miguel,Educacion/Salud/
516,Liga Peruana de Lucha contra el Cancer Filial Tingo María,Huánuco,Leoncio Prado,Rupa-Rupa,Guzman Silva  Marvel,Mujer y Poblaciones Vulnerables/Salud/
517,Los Niños Con Jesus,Lima,Lima,San Miguel,Romero Palacios  Hernan Eduardo,Educación/
518,Los Niños de la Ciudad de Dios,Lima,Lima,Lima,Aquino Huaman  Fabian,Mujer y Desarrollo Social/Salud/
519,Los Seguidores de San Judas Tadeo,Lima,Lima,Rimac,Calderon Ponce  Carlos Alberto,Mujer y Desarrollo Social/
520,Luces para la Humanidad ,Puno,San Roman,Juliaca,Ramos Ccarccasi  Juana,Agricultura/Trabajo y Promocion Social/Otros/
521,Luz del Mundo,Lima,Huaura,Santa Maria,Jara Castro  Carmen Livia,Educacion/Mujer y Desarrollo Social/Salud/
522,M.A.H.A.,Lima,Lima,Miraflores,Wolfgang Schemke  Hans,Educación/
523,Manos Amigas en Acción,Lima,Lima,Lince,Escalante Ormeño  Rosana Luisa,Educacion/Mujer y Desarrollo Social/Salud/
524,Md + Salud,Lima,Lima,Santiago De Surco,Muro Guerrero  Luis Alejandro,Educación/Salud/
525,Medical Ministry International - Peru,Arequipa,Arequipa,Paucarpata,Catacora Valdivia  Tania Aglae,Educación/Mujer y Desarrollo Social/Salud/
526,Medlife Sucursal del Perú,Lima,Lima,San Borja,Ellis  Nicolas Gerald,Mujer y Poblaciones Vulnerables/Educacion/
,,,,,Vidal Asencios  Jorge Magtver,
527,Mensajeros de Ayuda,Loreto,Maynas,Iquitos,Noriega Tejada  Nelton,Cultura/ Mujer y Poblaciones Vulnerables/Educación/
528,Miastenia Gravis,Lima,Lima,Jesus Maria,Segovia Medina  Maria Soledad,Mujer y Poblaciones Vulnerables/Salud/
529,Mil Voces Perú,Lima,Lima,Santiago De Surco,Bobadilla Paucar  Arturo Enrique,Mujer Y Poblaciones Vulnerables/
530,Mini Academia de Ciencia y Tecnología,Lima,Lima,Magdalena Del Mar,Johnson Contreras  Johana Milagros,Mujer Y Poblaciones Vulnerables/
531,Ministerio Booz,La Libertad,Trujillo,Trujillo,Moreno Escudero  Loyer Abdias,Mujer Y Poblaciones Vulnerables/Presidencia Del Consejo De Ministros/
532,Ministerio de Restauracion Compañero de Milicia,Lima,Callao,Callao,Mendoza Nole  Antonio Benjamin,Educacion/Mujer Y Desarrollo Social/Salud/
533,Ministerio Internacional de Desarrollo,Lima,Lima,San Isidro,Rosas Calderon  Christian,Educacion/Mujer Y Desarrollo Social/
534,Ministerio La Luz / Periodico Radio Y Television Cristiana La Luz,Lima,Lima,Lima,Lozano Perez  Isaias David,Educacion/Salud/
535,Ministerio La Voz de la Verdad Mision Interdenominacional O.N.G.D. De Una Comunidad Cristiana,La Libertad,Viru,Viru,Milla Nolasco  Policarpio Washington,Mujer Y Desarrollo Social/
536,Ministerio Restaurando Vidas Para Jesucristo - Jehova Jireh,Lima,Lima,Puente Piedra,Alva Barroso  Emidgio Oswaldo,Mujer Y Poblaciones Vulnerables/
537,Ministerio Torre de Esperanza Perú,Lima,Lima,Villa Maria Del Triunfo,Zapana Zapana  Alex Gamaliel,Mujer y Desarrollo Social/Salud/
538,Mision Buenas Nuevas,Lima,Lima,Lima,Seong Ju  Jo,Mujer y Poblaciones Vulnerables/Vivienda Construcción y Saneamiento/
539,Mision Cristiana Camino De Vida,Lima,Lima,Santiago De Surco,Barriger  Robert William,Educacion/Mujer Y Desarrollo Social/Salud/Otros/
540,Mision Cristiana Carismatica El Camino,Lima,Lima,Rimac,Orrego Guillen  Franz Jerry,Educacion/Mujer y Desarrollo Social/
541,Mision Cristiana Pentecostal Jesus La Luz del Mundo,Lima,Callao,Callao,Cardenas Rodriguez  Oscar Augusto,Educacion/Mujer y Desarrollo Social/
542,Misión de Dios Dirigida hacia las Mujeres y Niños,Lima,Lima,Independencia,Rios Suarez  Maria Elena,Educacion/Mujer y Desarrollo Social/Salud/
543,Mision del Sinodo Evangelico Luterano en el Perú,Lima,Lima,Lima,Haeuser  David Edwin,Mujer y Desarrollo Social/
544,Mision Evangelica Cristo para Todos,Loreto,Maynas,Iquitos,Yong Quina  Alfredo,Educación/Mujer y Desarrollo Social/Salud/Otros/
545,Mision Evangelica del Principe de Paz,Lima,Lima,Comas,Carpio Anco  Richard,Mujer y Poblaciones Vulnerables/
546,Misión Evangélica Pentecostal Independiente,Loreto,Maynas,Punchana,Romero Ahuite  Italo,Educación/
547,Misión Evangélica Pentecostes Casa de Oración,Lima,Callao,Ventanilla,Duran Godoy  Ysac,Mujer y Desarrollo Social/
548,Mision Padre Hijo y Espiritu Santo,Lima,Lima,Chorrillos,Alvarado Risco  Luis Alberto,Mujer y Poblaciones Vulnerables/
,,,,,Matos Levano  Marcos Julio,
549,Mision Peruana a Toda Criatura,Lima,Lima,Lince,Loyola Rios  Oscar Zenobio,Mujer y Desarrollo Social/Salud/
550,Misión Seminario Teológico Evangélico Presbiteriano del Perú,Lima,Lima,Lince,Sung Park  Eun,Mujer y Desarrollo Social/
,,,,,Soo Kim  Myung,
551,Mision Suiza en el Perú                                                                                           ,Ucayali,Coronel Portillo,Yarinacocha,Hanselmann  Richard,Educacion/
